latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,3600,Europe/Berlin,GMT+1

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm)
2024-01-01,7.4,3.5,5.3,1.90
2024-01-02,7.3,2.5,4.6,8.50
2024-01-03,10.6,7.3,8.8,10.80
2024-01-04,7.3,-2.2,3.8,2.80
2024-01-05,0.9,-0.6,0.4,5.40
2024-01-06,1.0,-1.8,-0.4,1.30
2024-01-07,-0.3,-7.5,-2.9,0.50
2024-01-08,-3.8,-9.1,-6.9,0.00
2024-01-09,-4.0,-10.5,-7.8,0.00
2024-01-10,-1.8,-8.8,-6.6,0.00
2024-01-11,-0.2,-7.2,-2.7,0.00
2024-01-12,0.6,-1.6,-0.6,0.00
2024-01-13,2.2,0.6,1.6,2.20
2024-01-14,2.9,1.0,1.7,4.40
2024-01-15,2.3,-4.2,0.7,1.00
2024-01-16,1.1,-2.7,-1.0,3.10
2024-01-17,-0.1,-4.5,-2.6,2.20
2024-01-18,0.5,-5.1,-2.7,0.20
2024-01-19,1.9,-5.1,-1.3,0.00
2024-01-20,3.1,-2.4,0.6,0.00
2024-01-21,3.1,-4.8,-0.9,0.00
2024-01-22,8.9,1.1,5.7,3.10
2024-01-23,7.6,2.5,4.5,0.30
2024-01-24,10.4,4.9,8.1,5.70
2024-01-25,8.4,5.1,6.5,0.20
2024-01-26,9.1,2.2,5.2,3.50
2024-01-27,6.8,1.4,4.1,0.00
2024-01-28,6.4,-2.2,1.5,0.00
2024-01-29,8.3,-0.1,3.0,0.00
2024-01-30,8.3,0.9,4.3,0.10
2024-01-31,7.6,1.6,5.1,0.00
2024-02-01,7.8,2.4,5.7,2.10
2024-02-02,7.9,3.9,5.7,1.20
2024-02-03,10.4,7.5,9.0,2.80
2024-02-04,8.5,5.3,6.9,0.70
2024-02-05,9.7,6.9,8.9,12.20
2024-02-06,10.4,8.1,9.2,1.50
2024-02-07,9.2,-0.2,4.5,9.00
2024-02-08,4.8,-2.5,1.0,2.80
2024-02-09,8.0,1.0,4.1,14.10
2024-02-10,12.5,6.5,8.6,5.50
2024-02-11,10.2,6.1,7.4,5.30
2024-02-12,8.8,4.4,6.6,5.70
2024-02-13,8.3,2.5,4.7,0.10
2024-02-14,9.4,1.8,6.0,4.70
2024-02-15,13.3,8.5,10.6,0.20
2024-02-16,15.6,8.0,11.4,2.00
2024-02-17,11.7,5.4,8.9,2.00
2024-02-18,9.4,0.7,5.9,0.90
